name,website,investment_range_low,investment_range_high,last_fund_size,city,state,country,investments_last_twelve,active_portfolio,investments,dry_powder,last_fund_date,year_founded,description
IA Ventures,www.iaventures.com,0.25,0.75,160,New York,NY,United States,13,25,48,160.97,15-Jul-2015,2010,"IA Ventures is an early stage venture firm focused on creating competitive advantage through data. The firm focuses on investing in companies operating in the information technology, e-commerce, software, financial services, healthcare, media, big data and business services sectors. The firm was founded in 2010."
Lead Edge Capital,www.leadedgecapital.com,null,null,36.25,new york,NY,United States,4,14,20,219.13,16-Mar-2015,2009,"Lead Edge Capital is a venture capital firm that seeks to invest in expansion stage technology companies. The firm prefers to invest in the software, internet services, e-commerce and digital media sectors. It was founded in 2009 and is based in New York."
Insight Venture Partners,www.insightpartners.com,3,500,"1,816.46",New York,NY,United States,35,75,132,"3,903.31",11-Aug-2015,1995,null
Kayon Partners,www.kayonpartners.com,null,null, null,new york,NY,United States,2,2,2,null,13-May-2016,2016,null
KEC ventures,www.kecventures.com,0.1,2, null,New York,NY,United States,6,10,14,62.56,9-Jul-2014,2011,null
Laconia Capital Group,www.laconiacapitalgroup.com,null,null, null,new york,NY,United States,1,1,1,null,31-Dec-2015,2014,null
Lerer Hippeau ventures,www.lererhippeau.com,null,null,113,New York,NY,United States,28,108,199,145.17,19-Nov-2015,2010,"Lerer Hippeau Ventures is a seed stage venture capital firm which seeks to invest in companies operating in the information technology, media, retail, mobile and manufacturing sectors. LHV was founded in 2010 and is based in New York, New York."
LUMA Capital Partners,www.lumacapitalpartners.com,null,null, null,new york,NY,United States,1,1,2,null,20-Apr-2016,2016,null
Lux Capital,www.luxcapital.com,0.1,20,350,New York,NY,United States,23,46,70,430.41,2-Apr-2015,2000,"Lux Capital is a venture capital firm based in New York, New York. The firm was established in 2000 and invests in emerging technologies in the physical and life science sectors."
Marker,www.marker-llc.com,5,25,14.3,New York,NY,United States,13,25,40,null,null,2011,"Marker is a venture capital firm which specializes in seed, early stage, later stage and growth capital investments. It seeks to invest in the digital media, marketing, software, mobile, technology, healthcare, and content distribution sectors. The firm was founded in 2011 and is based in New York with an additional office in Herzliya Pituach, Israel."
Media Development Investment Fund,www.mdif.org,null,null, null,new york,NY,United States,null,8,12,null,7-Mar-2012,1995,null
Mesa Ventures,www.mesa.vc,0.05,0.25,10,new york,NY,United States,1,36,53,5.9,1-Apr-2013,2012,"Mesa Ventures is a venture capital firm. The firm seeks to invest in early stage internet and enterprise startups. The firm based in New York, New York with additional offices in San Francisco, California and Los Angeles, California and was established in 2012."
Milestone venture Partners,www.milestonevp.com,0.5,1.5,32,new york,NY,United States,3,6,9,38.99,16-May-2014,1999,"Milestone Venture Partners is an early stage venture capital firm which seeks to invest in the digital health, financial services and technology-enabled services companies based in Northeast and Mid-Atlantic. The firm was founded in 1999 and is based in New York, New York."
New Leaf Venture Partners,www.nlvpartners.com,5,30,208.83,new york,NY,United States,3,5,8,122.42,5-Dec-2014,2005,"New Leaf Venture Partners is a healthcare technology focused venture capital firm based in New York, New York. It primarily caters to the bio-pharmaceuticals, information convergence, medical devices, and biological research tools and infrastructure sectors."
Nyca Partners,www.nycapartners.com,10,15,125,new york,NY,United States,5,12,13,15.5,27-Jan-2017,2014,null
OrbiMed,www.orbimed.com,3,50,307,New York,NY,United States,27,56,104,"2,792.61",23-May-2016,1989,"OrbiMed is a venture capital and private equity firm which seeks to invest in the pharmaceuticals, life sciences, digital health, healthcare services, medical devices, biopharmaceuticals, diagnostics, healthcare technology and biotechnology sectors. The firm was founded in 1989 and is headquartered in New York, New York."
Pavilion Capital Partners,www.pavilioncapital.com,null,null,"1,000.00",new york,NY,United States,2,7,7,299.1,3-Jan-2012,null,null
Pereg ventures,www.peregventures.com,null,null,34,new york,NY,United States,1,6,7,19.2,1-Aug-2015,2012,"Pereg Ventures is an early-stage venture capital firm focused on identifying entrepreneurs with ambitious ideas that will transform the way the world markets. Pereg invests in businesses that solve real-world marketing and advertising problems, including market intelligence technologies, spend management tools, advertising solutions, and online and mobile enablers. They are currently investing in post-Seed through to Series B for portfolio companies based in the US or Israel."
RRE Ventures,www.rre.com,2,15,280,New York,NY,United States,25,52,72,225.79,25-Apr-2014,1994,"RRE Ventures is an early and mid-stage venture capital firm based in New York City, New York. The firm invests primarily in Seed, Series A and Series B rounds and focuses on products or services enabled by information technology, which includes software and internet technology as well as hardware and technology-enabled services."
Second Alpha Partners,www.secondalpha.com,null,null, null,new york,NY,United States,null,4,15,null,24-Dec-2014,2012,null
Scout ventures,www.scoutventures.com,0.05,0.5,11.5,new york,NY,United States,3,39,70,57.21,6-Jul-2014,2009,"Scout Ventures is a venture capital firm that seeks to invest in early stage companies that are disrupting established business models. Scout Ventures invests in the following sectors: Mobile and Digital Payments, Big Data analytics, commerce and services, cloud infrastructure, social content, ad tech, the shared economy, health and quantieifed self, and education technology. The firm is based in New York City and has a satellite office in Miami Florida."
Thrive Capital,www.thrivecap.com,null,null,700,New York,NY,United States,15,46,81,962.34,18-Jul-2016,2009,"Thrive Capital is a venture capital firm that makes seed, early, start up and late stage investments in internet and software sectors. The firm was founded in 2009 and is based in New York, New York."
Trlbeca Venture Partners,www.tribecavp.com,0.1,4,107,New York,NY,United States,10,17,29,121.54,26-Feb-2016,1998,"Tribeca Venture Partners is a venture capital firm which seeks to invest in the digital media, e-commerce, financial technology, education, ad-technology, mobile applications, software and information technology sectors. The firm was founded in 1998 and is based in New York, New York."
University Ventures,www.universityventures.com,null,null,136.1,New York,NY,United States,13,22,27,162.39,13-Aug-2015,null,null
Union Square Ventures,www.usv.com,1,20,175,New York,NY,United States,23,35,48,459.28,1-Apr-2016,2003,"Union Square Ventures is a venture capital firm based in New York, New York. The firm focuses on investing in companies operating in the financial services, internet, information technology, healthcare, retail, media and mobile sectors."
vaiar ventures,www.valarventures.com,null,null,102.33,New York,NY,United States,13,23,43,118.42,21-May-2015,2010,null
vast ventures,www.vastvc.com,null,null,5,new york,NY,United States,4,10,17,2.3,null,2004,null
Vayner/RSE,www.vaynerrse.com,null,null,25,New York,NY,United States,10,64,76,13.54,17-Feb-2014,2014,null
Vedanta Capital,www.vedacap.com,null,null,15,new york,NY,United States,1,2,2,21.1,1-Feb-2012,2006,null
Windham venture Partners,www.windhamvp.com,null,null, null,New York,NY,United States,5,17,26,null,1-Jun-2012,2006,null
WME Venture Partners,www.wmevc.com,null,null,50,New York,NY,United States,5,8,8,31.32,15-Nov-2016,2015,null
Work-Bench,www.work-bench.com,0.5,1,10,new york,NY,United States,4,11,14,3.31,3-Dec-2013,2013,null
Dreamlt Ventures,www.dreamit.com,0.03,0.03,22,Aston,PA,United States,27,115,173,5.71,31-Mar-2015,2008,null
BoxGroup,boxgroup.com,null,null,null,new york,ny,United States,null,null,null,null,null,null,null
Indicator Ventures,indicatorventures.com,null,null,null,new york,ny,United States,null,null,null,null,null,null,null
Sequoia,sequoiacap.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Correlation Ventures,correlationvc.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Sierra Ventures,sierraventures.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Point Nine Capital,http://www.pointninecap.com/,null,null,null,null,null,Germany,null,null,null,null,null,null,null
Slack Fund,https://slack.com/developers/fund,null,null,null,null,null,United States,null,null,null,null,null,null,null
Hyperplane,https://www.hyperplane.vc/,null,null,null,null,null,United States,null,null,null,null,null,null,null
PJC,pjc.vc,null,null,null,null,null,United States,null,null,null,null,null,null,null
Accomplice,https://accomplice.co/,null,null,null,null,null,United States,null,null,null,null,null,null,null
CRV,crv.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Highland Capital Partners,hcp.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Boston Seed Capital,bostonseed.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
TenEleven Ventures,1011vc.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Corigin Ventures,coriginventures.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Launch Capital,launchcapital.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Vaizra Investments,vaizra.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Felicis Ventures,felicis.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Foundry Group,foundrygroup.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Avalon Ventures,avalon-ventures.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Pillar,pillar.vc,null,null,null,null,null,United States,null,null,null,null,null,null,null
F-Prime Ventures,fprimecapital.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Funders Club,Fundersclub.com,null,null,null,null,null,United States,null,null,null,null,null,null,null
Salesforce Ventures,null,null,null,null,null,null,United States,null,null,null,null,null,null,null
Glasswing Ventures,null,null,null,null,null,null,United States,null,null,null,null,null,null,null
